pripid,entname,longitude,latitude
3301032002001465,法安风险评估（杭州）有限公司,120.13997145578573,30.27996448796898
3301032003001596,杭州城开物资经营有限公司,120.13846373981778,30.272960522336454
3301032003003058,杭州巴菲特办公设备有限公司,120.13707235441338,30.27725081528697
0f3024ac85dd91f7bbe242fd81188ad1,杭州市西湖区大大树幼儿园,120.14306486063988,30.285997978508906
3301032004003427,杭州森森丝绸有限公司,120.12368077519282,30.27749625429586
9af921491ec736ffd0eb180593f45ee0,杭州市西湖区文一街幼儿园,120.13646860328011,30.291230182428144
b5db71c9b271172c18ed4c4bcc8bd5c7,杭州市西湖区石灰桥幼儿园,120.14511290737208,30.285263127361315
3301060001058909,杭州真彩图文制作有限公司文三路分公司,120.14907443467108,30.277681268742356
3301060001060278,浙江凯旋门澳门豆捞控股集团有限公司杭州文三路分公司,120.14980224179527,30.278212140518132
3301060001060308,杭州中加达出入境服务有限公司,120.1364891744763,30.27703718616579
3301060001061071,杭州文涛文化艺术有限公司,120.14509458193967,30.283847123837894
3301060001061595,杭州云端旅行社有限公司,120.1965621876589,30.317934304368347
3301060001061628,杭州奕标检测技术有限公司,120.14383807867418,30.28538619665665
3301060001062137,杭州魔方快结科技有限公司,120.16961966982034,30.217527643799205
3301060001062203,杭州雅坤教育咨询有限公司,120.1471456829106,30.272358668573766
3301060001062886,杭州凌华辅政教育科技有限公司,120.13394041225283,30.276963975201923
3301060001063867,杭州都喜酒店管理有限公司,120.1528751652838,30.277057457562425
3301060001065097,杭州凯凯实业有限公司,120.13707702560203,30.27360806260838
3301060001065294,杭州顺隆环保技术服务有限公司,120.14384971016395,30.27609261235821
3301060001065354,杭州鼎盟娱乐管理有限公司,120.13785648529303,30.271993687166685
3301060001066937,杭州豫永食品有限公司,120.1478469001917,30.27680032237925
3301060001067166,杭州市西湖区银炉小吃店,120.13785648529303,30.271993687166685
1dda30b74f1a9a478af716b04ab6f974,杭州市西湖区文苑幼儿园,120.09396797299203,30.27885106958333
3301040001007312,杭州东仁堂医药零售连锁有限公司教工路店,120.13597228948585,30.281664022729252
9fab36e0fbc885ab57af4aca191f3746,浙江省级机关武林门幼儿园,120.15150695616154,30.276543030580754
eafbe578819575c506f1765659cb06aa,浙江省杭州学军中学,120.13957126068102,30.277711597667725
3301060001068236,杭州宛自天开景观工程有限公司,120.49299411272708,30.319786857502564
3301060001068484,杭州市西湖区旭鸿食品商行,120.14075711378474,30.271972245148618
3301060001069912,杭州市西湖区萌苗便利店,120.13634903881675,30.284172066624954
3301060001071171,杭州博美轩餐饮管理有限公司,120.14395499156971,30.277377121334695
3301060001071336,杭州君和堂中医门诊部有限公司,120.13843319743044,30.283730337513017
3301060001071869,杭州世欧网络科技有限公司,120.15177501052572,30.272842007575
3301060001072866,杭州康源口腔医疗有限公司文二路口腔门诊部,120.1396275844365,30.283562018390484
3301060001073141,杭州格桑花网络科技有限公司,120.1436699592314,30.278029154202
3301060001073375,浙江康隆商品经营有限公司,120.14395499156971,30.277377121334695
3301060001073609,杭州日月同辉商品经营有限公司,120.14395499156971,30.277377121334695
3301060001073823,杭州全聚德餐饮有限公司莫干山路分公司,120.15014036398922,30.27923512669145
3301060001073953,杭州春泉物业管理有限公司,120.1439667593719,30.283405159362445
3301060001074084,杭州科融电子有限公司,120.14118812076843,30.28411967669058
3301060001074609,杭州市西湖区怀信食品便利店,120.14560868218304,30.283804868721877
3301060001074970,杭州沙沃商贸有限公司,120.14241511626452,30.290583383292418
3301060001075145,杭州市西湖区学智食品店,120.1394028283979,30.28459796767653
3301060001075678,杭州尔本家居装饰有限公司,120.2277079668092,30.26987605061896
cdc633375048f5183ae3225ca7aab557,杭州市学军小学,120.14373858977237,30.282014856514817
a2dd3897f6c2f439113f1a06bdd8bed9,浙江师范大学杭州校区,120.13953955049652,30.28267270542798
3301040001056836,杭州全聚德餐饮有限公司,120.15014036398922,30.27923512669145
3301060001075801,杭州金优润智能科技有限公司,120.14437297312351,30.277398406226567
3301060001075916,杭州群安贸易有限公司,120.14458964441252,30.277889672709474
3301060001075969,杭州市西湖区香双烟酒商行,120.14585841111482,30.277572115719202
3301060001076200,杭州聚鼎房地产代理有限公司,120.14395499156971,30.277377121334695
3301060001077029,杭州市西湖区邹勤文印店,120.14632535031889,30.280175148004794
3301060001078739,杭州菲力房地产代理有限公司,120.13808510404532,30.277344609238106
3301060001079363,杭州文二街农副产品综合市场毛玲英水产行,120.14399397802885,30.2866022424565
3301060001080461,杭州嘉耀汽车服务有限公司,120.14400718311985,30.290723236333168
3301060001081782,杭州市西湖区小军足浴馆,120.13611790480901,30.280645584051875
3301060001082770,杭州盾邦投资管理咨询有限公司,120.12368077519282,30.27749625429586
3301060001083841,杭州幽谷出国留学服务有限公司,120.13785648529303,30.271993687166685
24c846d9dafdaa10c02d9fa153a2e7d6,杭州市文三教育集团（总校）,120.14449523250342,30.276943937686756
3301960000005687,杭州中穗置业投资管理有限公司,120.05733064025914,30.188401706879997
3301060001085395,杭州市西湖区瑞琪棋牌室,120.14999690459928,30.274968000083387
3301060001086158,杭州鑫亿房地产营销策划有限公司,120.13817924646276,30.271929750953383
3301060001087132,杭州海浪泳池工程有限公司,120.15012545211776,30.27399284217053
3301060001087213,杭州秦晋金融信息服务有限公司,120.13672668645313,30.283823891322506
3301060001087229,杭州塑逸服饰有限公司,120.13707702560203,30.27360806260838
3301060001087330,浙江中田资产管理有限公司,120.14682058614655,30.28214372914044
3301060001087777,杭州七天物业管理有限公司,120.13672668645313,30.283823891322506
